rank,university,city,field,branch,acceptance_rate,funding
1,De La Salle University,Manila,Computer Science,Cognitive Science,35,Private
2,Mapua University,Manila,Computer Science,Cognitive Science,78,Private
3,University of the Philippines Manila,Manila,Computer Science,Cognitive Science,51,"Public-private
partnership"
4,University of the Philippines Diliman,Quezon,Computer Science,Cognitive Science,12,"Public-private
partnership"
5,Ateneo de Manila University,Quezon,Computer Science,Cognitive Science,42,Private
6,Technological Institute of the Philippines,Manila,Computer Science,Cognitive Science,66,Private
7,University of Santo Tomas,Manila,Computer Science,Cognitive Science,90,Private
8,University of the Philippines Los Banos,Los Banos,Computer Science,Cognitive Science,15,"Public-private
partnership"
9,Batangas State University,Batangas,Computer Science,Cognitive Science,85,"Public-private
partnership"
1,De La Salle University,Manila,Computer Science,Computational Linguistics,35,Private
2,University of the Philippines Diliman,Quezon,Computer Science,Computational Linguistics,12,"Public-private
partnership"
3,Mapua University,Manila,Computer Science,Computational Linguistics,78,Private
4,Ateneo de Manila University,Quezon,Computer Science,Computational Linguistics,42,Private
5,Technological Institute of the Philippines,Manila,Computer Science,Computational Linguistics,66,Private
6,University of the Philippines Manila,Manila,Computer Science,Computational Linguistics,51,"Public-private
partnership"
1,University of the Philippines Diliman,Quezon,Computer Science,Computer Engineering,12,"Public-private
partnership"
2,De La Salle University,Manila,Computer Science,Computer Engineering,35,Private
3,Mapua University,Manila,Computer Science,Computer Engineering,78,Private
4,Ateneo de Manila University,Quezon,Computer Science,Computer Engineering,42,Private
1,University of the Philippines Diliman,Quezon,Computer Science,Computer Graphics,12,"Public-private
partnership"
2,De La Salle University,Manila,Computer Science,Computer Graphics,35,Private
1,University of the Philippines Diliman,Quezon,Computer Science,Computer Networking,12,"Public-private
partnership"
2,De La Salle University,Manila,Computer Science,Computer Networking,35,Private
3,Mapua University,Manila,Computer Science,Computer Networking,78,Private
4,Ateneo de Manila University,Quezon,Computer Science,Computer Networking,42,Private
5,Mindanao State University - Iligan Institute of Technology,Iligan,Computer Science,Computer Networking,40,"Public-private
partnership"
6,Technological Institute of the Philippines,Manila,Computer Science,Computer Networking,66,Private
7,University of Santo Tomas,Manila,Computer Science,Computer Networking,90,Private
8,University of the Philippines Los Banos,Los Banos,Computer Science,Computer Networking,15,"Public-private
partnership"
9,University of the Philippines Manila,Manila,Computer Science,Computer Networking,51,"Public-private
partnership"
10,University of San Carlos,Cebu,Computer Science,Computer Networking,61,Private
11,Emilio Aguinaldo College,Manila,Computer Science,Computer Networking,92,Private
12,Lyceum of the Philippines University,Manila,Computer Science,Computer Networking,82,Private
1,University of the Philippines Diliman,Quezon,Computer Science,Computer Vision,12,"Public-private
partnership"
2,De La Salle University,Manila,Computer Science,Computer Vision,35,Private
3,Mapua University,Manila,Computer Science,Computer Vision,78,Private
4,Ateneo de Manila University,Quezon,Computer Science,Computer Vision,42,Private
5,Technological Institute of the Philippines,Manila,Computer Science,Computer Vision,66,Private
6,University of the Philippines Los Banos,Los Banos,Computer Science,Computer Vision,15,"Public-private
partnership"
7,University of the Philippines Manila,Manila,Computer Science,Computer Vision,51,"Public-private
partnership"
8,University of Santo Tomas,Manila,Computer Science,Computer Vision,90,Private
9,Mindanao State University - Iligan Institute of Technology,Iligan,Computer Science,Computer Vision,40,"Public-private
partnership"
10,University of San Carlos,Cebu,Computer Science,Computer Vision,61,Private
11,Polytechnic University of the Philippines,Manila,Computer Science,Computer Vision,40,"Public-private
partnership"
12,Caraga State University,Butuan,Computer Science,Computer Vision,84,"Public-private
partnership"
13,Batangas State University,Batangas,Computer Science,Computer Vision,85,"Public-private
partnership"
1,University of the Philippines Diliman,Quezon,Computer Science,Cyber Security,12,"Public-private
partnership"
2,Mapua University,Manila,Computer Science,Cyber Security,78,Private
3,De La Salle University,Manila,Computer Science,Cyber Security,35,Private
4,University of the Philippines Los Banos,Los Banos,Computer Science,Cyber Security,15,"Public-private
partnership"
5,Technological Institute of the Philippines,Manila,Computer Science,Cyber Security,66,Private
6,Ateneo de Manila University,Quezon,Computer Science,Cyber Security,42,Private
7,University of the Philippines Manila,Manila,Computer Science,Cyber Security,51,"Public-private
partnership"
8,University of Santo Tomas,Manila,Computer Science,Cyber Security,90,Private
9,Polytechnic University of the Philippines,Manila,Computer Science,Cyber Security,40,"Public-private
partnership"
10,Emilio Aguinaldo College,Manila,Computer Science,Cyber Security,92,Private
11,Mindanao State University - Iligan Institute of Technology,Iligan,Computer Science,Cyber Security,40,"Public-private
partnership"
12,Asian Institute of Management,Makati,Computer Science,Cyber Security,60,Private
13,University of Mindanao,Davao,Computer Science,Cyber Security,92,Private
14,Laguna State Polytechnic University,Sta. Cruz,Computer Science,Cyber Security,23,"Public-private
partnership"
15,Caraga State University,Butuan,Computer Science,Cyber Security,84,"Public-private
partnership"
16,Surigao del Sur State University,Tandag,Computer Science,Cyber Security,83,"Public-private
partnership"
17,West Visayas State University,Iloilo,Computer Science,Cyber Security,67,"Public-private
partnership"
1,De La Salle University,Manila,Computer Science,Data Science,35,Private
2,University of the Philippines Diliman,Quezon,Computer Science,Data Science,12,"Public-private
partnership"
3,Technological Institute of the Philippines,Manila,Computer Science,Data Science,66,Private
4,Mapua University,Manila,Computer Science,Data Science,78,Private
5,University of the Philippines Manila,Manila,Computer Science,Data Science,51,"Public-private
partnership"
1,Mapua University,Manila,Computer Science,Human-Computer Interaction,78,Private
2,De La Salle University,Manila,Computer Science,Human-Computer Interaction,35,Private
3,Ateneo de Manila University,Quezon,Computer Science,Human-Computer Interaction,42,Private
4,University of the Philippines Diliman,Quezon,Computer Science,Human-Computer Interaction,12,"Public-private
partnership"
5,Laguna State Polytechnic University,Sta. Cruz,Computer Science,Human-Computer Interaction,23,"Public-private
partnership"
6,Technological Institute of the Philippines,Manila,Computer Science,Human-Computer Interaction,66,Private
7,University of the Philippines Manila,Manila,Computer Science,Human-Computer Interaction,51,"Public-private
partnership"
1,University of the Philippines Diliman,Quezon,Computer Science,Library and Information science,12,"Public-private
partnership"
2,De La Salle University,Manila,Computer Science,Library and Information science,35,Private
3,Ateneo de Manila University,Quezon,Computer Science,Library and Information science,42,Private
4,University of the Philippines Manila,Manila,Computer Science,Library and Information science,51,"Public-private
partnership"
5,University of Santo Tomas,Manila,Computer Science,Library and Information science,90,Private
6,University of the Philippines Los Banos,Los Banos,Computer Science,Library and Information science,15,"Public-private
partnership"
1,De La Salle University,Manila,Computer Science,Machine Learning,35,Private
2,Mapua University,Manila,Computer Science,Machine Learning,78,Private
3,University of the Philippines Diliman,Quezon,Computer Science,Machine Learning,12,"Public-private
partnership"
4,Technological Institute of the Philippines,Manila,Computer Science,Machine Learning,66,Private
5,University of the Philippines Manila,Manila,Computer Science,Machine Learning,51,"Public-private
partnership"
6,University of the Philippines Los Banos,Los Banos,Computer Science,Machine Learning,15,"Public-private
partnership"
7,University of Santo Tomas,Manila,Computer Science,Machine Learning,90,Private
8,Ateneo de Manila University,Quezon,Computer Science,Machine Learning,42,Private
9,University of Mindanao,Davao,Computer Science,Machine Learning,92,Private
10,Asian Institute of Management,Makati,Computer Science,Machine Learning,60,Private
11,Mindanao State University - Iligan Institute of Technology,Iligan,Computer Science,Machine Learning,40,"Public-private
partnership"
12,Adamson University,Manila,Computer Science,Machine Learning,61,Private
13,Polytechnic University of the Philippines,Manila,Computer Science,Machine Learning,40,"Public-private
partnership"
14,Batangas State University,Batangas,Computer Science,Machine Learning,85,"Public-private
partnership"
15,University of San Carlos,Cebu,Computer Science,Machine Learning,61,Private
16,Angeles University Foundation,Angeles,Computer Science,Machine Learning,80,Private
17,University of the Philippines Baguio,Baguio,Computer Science,Machine Learning,45,"Public-private
partnership"
18,Lyceum of the Philippines University,Manila,Computer Science,Machine Learning,82,Private
19,Bulacan State University,Malolos,Computer Science,Machine Learning,52,"Public-private
partnership"
20,West Visayas State University,Iloilo,Computer Science,Machine Learning,67,"Public-private
partnership"
21,Caraga State University,Butuan,Computer Science,Machine Learning,84,"Public-private
partnership"
22,University of Science and Technology of Southern Philippines,Cagayan de Oro,Computer Science,Machine Learning,80,"Public-private
partnership"
23,University of the Philippines in the Visayas,Iloilo,Computer Science,Machine Learning,12,"Public-private
partnership"
24,University of the East - Philippines,Manila,Computer Science,Machine Learning,70,Private
25,University of Southeastern Philippines,Davao,Computer Science,Machine Learning,100,"Public-private
partnership"
26,Laguna State Polytechnic University,Sta. Cruz,Computer Science,Machine Learning,23,"Public-private
partnership"
27,Visayas State University,Baybay,Computer Science,Machine Learning,82,"Public-private
partnership"
28,University of Asia and the Pacific,Pasig,Computer Science,Machine Learning,74,Private
29,Isabela State University,Echague,Computer Science,Machine Learning,88,"Public-private
partnership"
30,University of Perpetual Help System DALTA,Las Pinas,Computer Science,Machine Learning,56,Private
31,Emilio Aguinaldo College,Manila,Computer Science,Machine Learning,92,Private
32,Central Luzon State University,Science City of Munoz,Computer Science,Machine Learning,67,"Public-private
partnership"
33,Mindanao State University,Marawi,Computer Science,Machine Learning,53,"Public-private
partnership"
34,Philippine Normal University,Manila,Computer Science,Machine Learning,50,"Public-private
partnership"
35,Southern Luzon State University,Lucban,Computer Science,Machine Learning,86,"Public-private
partnership"
36,Surigao del Sur State University,Tandag,Computer Science,Machine Learning,83,"Public-private
partnership"
1,De La Salle University,Manila,Computer Science,Management Information Systems (MIS),35,Private
2,University of the Philippines Diliman,Quezon,Computer Science,Management Information Systems (MIS),12,"Public-private
partnership"
3,Lyceum of the Philippines University,Manila,Computer Science,Management Information Systems (MIS),82,Private
4,Mapua University,Manila,Computer Science,Management Information Systems (MIS),78,Private
5,University of the Philippines Manila,Manila,Computer Science,Management Information Systems (MIS),51,"Public-private
partnership"
6,University of Santo Tomas,Manila,Computer Science,Management Information Systems (MIS),90,Private
7,Ateneo de Manila University,Quezon,Computer Science,Management Information Systems (MIS),42,Private
8,Laguna State Polytechnic University,Sta. Cruz,Computer Science,Management Information Systems (MIS),23,"Public-private
partnership"
9,Technological Institute of the Philippines,Manila,Computer Science,Management Information Systems (MIS),66,Private
10,Surigao del Sur State University,Tandag,Computer Science,Management Information Systems (MIS),83,"Public-private
partnership"
1,De La Salle University,Manila,Computer Science,Multimedia,35,Private
2,Mapua University,Manila,Computer Science,Multimedia,78,Private
3,Ateneo de Manila University,Quezon,Computer Science,Multimedia,42,Private
4,University of the Philippines Diliman,Quezon,Computer Science,Multimedia,12,"Public-private
partnership"
5,Laguna State Polytechnic University,Sta. Cruz,Computer Science,Multimedia,23,"Public-private
partnership"
1,University of the Philippines Manila,Manila,Computer Science,Neuroscience,51,"Public-private
partnership"
2,De La Salle University,Manila,Computer Science,Neuroscience,35,Private
3,University of the Philippines Diliman,Quezon,Computer Science,Neuroscience,12,"Public-private
partnership"
4,University of Santo Tomas,Manila,Computer Science,Neuroscience,90,Private
5,Ateneo de Manila University,Quezon,Computer Science,Neuroscience,42,Private
6,Angeles University Foundation,Angeles,Computer Science,Neuroscience,80,Private
7,University of the Philippines Los Banos,Los Banos,Computer Science,Neuroscience,15,"Public-private
partnership"
8,Mapua University,Manila,Computer Science,Neuroscience,78,Private
9,University of Mindanao,Davao,Computer Science,Neuroscience,92,Private
10,University of San Carlos,Cebu,Computer Science,Neuroscience,61,Private
11,Visayas State University,Baybay,Computer Science,Neuroscience,82,"Public-private
partnership"
12,Laguna State Polytechnic University,Sta. Cruz,Computer Science,Neuroscience,23,"Public-private
partnership"
13,Mindanao State University - Iligan Institute of Technology,Iligan,Computer Science,Neuroscience,40,"Public-private
partnership"
14,Philippine Normal University,Manila,Computer Science,Neuroscience,50,"Public-private
partnership"
15,University of Asia and the Pacific,Pasig,Computer Science,Neuroscience,74,Private
16,Mindanao State University,Marawi,Computer Science,Neuroscience,53,"Public-private
partnership"
17,Lyceum of the Philippines University,Manila,Computer Science,Neuroscience,82,Private
18,Polytechnic University of the Philippines,Manila,Computer Science,Neuroscience,40,"Public-private
partnership"
19,Batangas State University,Batangas,Computer Science,Neuroscience,85,"Public-private
partnership"
20,Liceo de Cagayan University,Cagayan de Oro,Computer Science,Neuroscience,86,Private
1,De La Salle University,Manila,Computer Science,Software Engineering,35,Private
2,University of the Philippines Diliman,Quezon,Computer Science,Software Engineering,12,"Public-private
partnership"
3,Mapua University,Manila,Computer Science,Software Engineering,78,Private
4,Ateneo de Manila University,Quezon,Computer Science,Software Engineering,42,Private
1,University of the Philippines Diliman,Quezon,Computer Science,Telecommunications,12,"Public-private
partnership"
2,De La Salle University,Manila,Computer Science,Telecommunications,35,Private
3,Mapua University,Manila,Computer Science,Telecommunications,78,Private
4,Mindanao State University - Iligan Institute of Technology,Iligan,Computer Science,Telecommunications,40,"Public-private
partnership"
5,Ateneo de Manila University,Quezon,Computer Science,Telecommunications,42,Private
6,University of Santo Tomas,Manila,Computer Science,Telecommunications,90,Private
7,University of the Philippines Manila,Manila,Computer Science,Telecommunications,51,"Public-private
partnership"
8,University of San Carlos,Cebu,Computer Science,Telecommunications,61,Private
9,University of the Philippines Los Banos,Los Banos,Computer Science,Telecommunications,15,"Public-private
partnership"
10,Technological Institute of the Philippines,Manila,Computer Science,Telecommunications,66,Private
11,Adamson University,Manila,Computer Science,Telecommunications,61,Private
1,Mapua University,Manila,Computer Science,UX/UI Desgin,78,Private
2,De La Salle University,Manila,Computer Science,UX/UI Desgin,35,Private
1,University of the Philippines Diliman,Quezon,Economics,Overall,12,"Public-private
partnership"
2,De La Salle University,Manila,Economics,Overall,35,Private
3,University of the Philippines Manila,Manila,Economics,Overall,51,"Public-private
partnership"
4,Ateneo de Manila University,Quezon,Economics,Overall,42,Private
5,University of the Philippines Los Banos,Los Banos,Economics,Overall,15,"Public-private
partnership"
6,Asian Institute of Management,Makati,Economics,Overall,60,Private
7,University of Santo Tomas,Manila,Economics,Overall,90,Private
8,University of Mindanao,Davao,Economics,Overall,92,Private
9,Visayas State University,Baybay,Economics,Overall,82,"Public-private
partnership"
10,Mapua University,Manila,Economics,Overall,78,Private
11,University of San Carlos,Cebu,Economics,Overall,61,Private
12,Philippine Normal University,Manila,Economics,Overall,50,"Public-private
partnership"
13,Laguna State Polytechnic University,Sta. Cruz,Economics,Overall,23,"Public-private
partnership"
14,Cebu Normal University,Cebu,Economics,Overall,71,"Public-private
partnership"
15,Lyceum of the Philippines University,Manila,Economics,Overall,82,Private
16,Angeles University Foundation,Angeles,Economics,Overall,80,Private
17,Polytechnic University of the Philippines,Manila,Economics,Overall,40,"Public-private
partnership"
18,Mindanao State University,Marawi,Economics,Overall,53,"Public-private
partnership"
19,Mindanao State University - Iligan Institute of Technology,Iligan,Economics,Overall,40,"Public-private
partnership"
20,Technological Institute of the Philippines,Manila,Economics,Overall,66,Private
21,University of the Philippines in the Visayas,Iloilo,Economics,Overall,12,"Public-private
partnership"
22,Bulacan State University,Malolos,Economics,Overall,52,"Public-private
partnership"
23,University of Asia and the Pacific,Pasig,Economics,Overall,74,Private
24,West Visayas State University,Iloilo,Economics,Overall,67,"Public-private
partnership"
25,Caraga State University,Butuan,Economics,Overall,84,"Public-private
partnership"
26,Central Luzon State University,Science City of Munoz,Economics,Overall,67,"Public-private
partnership"
27,Surigao del Sur State University,Tandag,Economics,Overall,83,"Public-private
partnership"
28,University of the East - Philippines,Manila,Economics,Overall,70,Private
29,Leyte Normal University,Tacloban,Economics,Overall,84,"Public-private
partnership"
30,Samar State University,Catbalogan City,Economics,Overall,92,"Public-private
partnership"
31,Ateneo de Davao University,Davao,Economics,Overall,50,Private
32,Batangas State University,Batangas,Economics,Overall,85,"Public-private
partnership"
33,Isabela State University,Echague,Economics,Overall,88,"Public-private
partnership"
34,Bukidnon State University,Malaybalay,Economics,Overall,87,"Public-private
partnership"
35,University of Southeastern Philippines,Davao,Economics,Overall,100,"Public-private
partnership"
36,Adamson University,Manila,Economics,Overall,61,Private
37,University of the Philippines Baguio,Baguio,Economics,Overall,45,"Public-private
partnership"
38,University of Science and Technology of Southern Philippines,Cagayan de Oro,Economics,Overall,80,"Public-private
partnership"
39,University of Perpetual Help System DALTA,Las Pinas,Economics,Overall,56,Private
40,Adventist International Institute of Advanced Studies,Silang,Economics,Overall,73,Private
41,Liceo de Cagayan University,Cagayan de Oro,Economics,Overall,86,Private
42,Benguet State University,La Trinidad,Economics,Overall,100,"Public-private
partnership"
43,University of Southern Mindanao,Kabacan,Economics,Overall,50,"Public-private
partnership"
44,San Beda University,Manila,Economics,Overall,63,Private
45,Xavier University - Ateneo de Cagayan,Cagayan de Oro,Economics,Overall,48,Private
46,University of the Philippines Mindanao,Davao,Economics,Overall,70,"Public-private
partnership"
47,Palawan State University,Puerto Princesa,Economics,Overall,75,"Public-private
partnership"
48,Silliman University,Dumaguete City,Economics,Overall,64,Private
49,Emilio Aguinaldo College,Manila,Economics,Overall,92,Private
50,Mariano Marcos State University,Batac,Economics,Overall,82,"Public-private
partnership"
51,University of San Jose-Recoletos,Cebu,Economics,Overall,61,Private
52,Adventist University of the Philippines,Cavite City,Economics,Overall,87,Private
53,University of the City of Manila,Manila,Economics,Overall,13,"Public-private
partnership"
54,Central Mindanao University,Maramag,Economics,Overall,74,"Public-private
partnership"
55,University of Zamboanga,Zamboanga,Economics,Overall,88,Private
56,Nueva Vizcaya State University,Bayombong,Economics,Overall,100,"Public-private
partnership"
57,University of Bohol,Tagbilaran City,Economics,Overall,76,Private
58,University of Eastern Philippines,Catarman,Economics,Overall,85,"Public-private
partnership"
59,University of the Immaculate Conception,Davao,Economics,Overall,74,Private
1,University of the Philippines Los Banos,Los Banos,Economics,Agricultural,15,"Public-private
partnership"
2,Visayas State University,Baybay,Economics,Agricultural,82,"Public-private
partnership"
1,University of the Philippines Manila,Manila,Economics,Development Studies,51,"Public-private
partnership"
2,University of the Philippines Diliman,Quezon,Economics,Development Studies,12,"Public-private
partnership"
3,De La Salle University,Manila,Economics,Development Studies,35,Private
4,Ateneo de Manila University,Quezon,Economics,Development Studies,42,Private
5,University of Santo Tomas,Manila,Economics,Development Studies,90,Private
6,Asian Institute of Management,Makati,Economics,Development Studies,60,Private
7,University of the Philippines Los Banos,Los Banos,Economics,Development Studies,15,"Public-private
partnership"
8,Philippine Normal University,Manila,Economics,Development Studies,50,"Public-private
partnership"
9,University of Mindanao,Davao,Economics,Development Studies,92,Private
10,Visayas State University,Baybay,Economics,Development Studies,82,"Public-private
partnership"
11,Laguna State Polytechnic University,Sta. Cruz,Economics,Development Studies,23,"Public-private
partnership"
12,Angeles University Foundation,Angeles,Economics,Development Studies,80,Private
13,Cebu Normal University,Cebu,Economics,Development Studies,71,"Public-private
partnership"
14,Mapua University,Manila,Economics,Development Studies,78,Private
15,Lyceum of the Philippines University,Manila,Economics,Development Studies,82,Private
16,Mindanao State University,Marawi,Economics,Development Studies,53,"Public-private
partnership"
17,University of San Carlos,Cebu,Economics,Development Studies,61,Private
18,West Visayas State University,Iloilo,Economics,Development Studies,67,"Public-private
partnership"
19,Technological Institute of the Philippines,Manila,Economics,Development Studies,66,Private
20,Mindanao State University - Iligan Institute of Technology,Iligan,Economics,Development Studies,40,"Public-private
partnership"
21,Polytechnic University of the Philippines,Manila,Economics,Development Studies,40,"Public-private
partnership"
22,Bulacan State University,Malolos,Economics,Development Studies,52,"Public-private
partnership"
23,University of the Philippines in the Visayas,Iloilo,Economics,Development Studies,12,"Public-private
partnership"
24,Surigao del Sur State University,Tandag,Economics,Development Studies,83,"Public-private
partnership"
25,Caraga State University,Butuan,Economics,Development Studies,84,"Public-private
partnership"
26,Bukidnon State University,Malaybalay,Economics,Development Studies,87,"Public-private
partnership"
27,Leyte Normal University,Tacloban,Economics,Development Studies,84,"Public-private
partnership"
28,Samar State University,Catbalogan City,Economics,Development Studies,92,"Public-private
partnership"
29,Central Luzon State University,Science City of Munoz,Economics,Development Studies,67,"Public-private
partnership"
30,Batangas State University,Batangas,Economics,Development Studies,85,"Public-private
partnership"
31,University of Southeastern Philippines,Davao,Economics,Development Studies,100,"Public-private
partnership"
32,University of Asia and the Pacific,Pasig,Economics,Development Studies,74,Private
33,Adventist International Institute of Advanced Studies,Silang,Economics,Development Studies,73,Private
34,University of the East - Philippines,Manila,Economics,Development Studies,70,Private
35,San Beda University,Manila,Economics,Development Studies,63,Private
36,Isabela State University,Echague,Economics,Development Studies,88,"Public-private
partnership"
37,Adamson University,Manila,Economics,Development Studies,61,Private
38,University of Perpetual Help System DALTA,Las Pinas,Economics,Development Studies,56,Private
39,University of Science and Technology of Southern Philippines,Cagayan de Oro,Economics,Development Studies,80,"Public-private
partnership"
40,Benguet State University,La Trinidad,Economics,Development Studies,100,"Public-private
partnership"
41,Liceo de Cagayan University,Cagayan de Oro,Economics,Development Studies,86,Private
42,Emilio Aguinaldo College,Manila,Economics,Development Studies,92,Private
43,Mariano Marcos State University,Batac,Economics,Development Studies,82,"Public-private
partnership"
44,Ateneo de Davao University,Davao,Economics,Development Studies,50,Private
45,University of Southern Mindanao,Kabacan,Economics,Development Studies,50,"Public-private
partnership"
46,Silliman University,Dumaguete City,Economics,Development Studies,64,Private
47,Adventist University of the Philippines,Cavite City,Economics,Development Studies,87,Private
48,Xavier University - Ateneo de Cagayan,Cagayan de Oro,Economics,Development Studies,48,Private
49,University of Bohol,Tagbilaran City,Economics,Development Studies,76,Private
1,University of the Philippines Diliman,Quezon,Economics,Econometrics,12,"Public-private
partnership"
2,De La Salle University,Manila,Economics,Econometrics,35,Private
3,Asian Institute of Management,Makati,Economics,Econometrics,60,Private
4,Ateneo de Manila University,Quezon,Economics,Econometrics,42,Private
5,University of the Philippines Los Banos,Los Banos,Economics,Econometrics,15,"Public-private
partnership"
6,University of Santo Tomas,Manila,Economics,Econometrics,90,Private
7,University of San Carlos,Cebu,Economics,Econometrics,61,Private
8,Polytechnic University of the Philippines,Manila,Economics,Econometrics,40,"Public-private
partnership"
9,Mapua University,Manila,Economics,Econometrics,78,Private
10,University of the Philippines Manila,Manila,Economics,Econometrics,51,"Public-private
partnership"
1,De La Salle University,Manila,Economics,Environmental,35,Private
2,University of the Philippines Diliman,Quezon,Economics,Environmental,12,"Public-private
partnership"
3,University of the Philippines Los Banos,Los Banos,Economics,Environmental,15,"Public-private
partnership"
4,Mapua University,Manila,Economics,Environmental,78,Private
1,University of the Philippines Diliman,Quezon,Economics,Finance,12,"Public-private
partnership"
2,De La Salle University,Manila,Economics,Finance,35,Private
3,Asian Institute of Management,Makati,Economics,Finance,60,Private
4,Ateneo de Manila University,Quezon,Economics,Finance,42,Private
5,University of Santo Tomas,Manila,Economics,Finance,90,Private
6,University of the Philippines Los Banos,Los Banos,Economics,Finance,15,"Public-private
partnership"
7,University of the Philippines Manila,Manila,Economics,Finance,51,"Public-private
partnership"
8,Mapua University,Manila,Economics,Finance,78,Private
9,University of Mindanao,Davao,Economics,Finance,92,Private
10,Polytechnic University of the Philippines,Manila,Economics,Finance,40,"Public-private
partnership"
11,Cebu Normal University,Cebu,Economics,Finance,71,"Public-private
partnership"
12,University of San Carlos,Cebu,Economics,Finance,61,Private
13,Lyceum of the Philippines University,Manila,Economics,Finance,82,Private
14,Mindanao State University,Marawi,Economics,Finance,53,"Public-private
partnership"
15,Mindanao State University - Iligan Institute of Technology,Iligan,Economics,Finance,40,"Public-private
partnership"
16,Technological Institute of the Philippines,Manila,Economics,Finance,66,Private
17,Bulacan State University,Malolos,Economics,Finance,52,"Public-private
partnership"
18,University of the Philippines in the Visayas,Iloilo,Economics,Finance,12,"Public-private
partnership"
19,Visayas State University,Baybay,Economics,Finance,82,"Public-private
partnership"
20,Laguna State Polytechnic University,Sta. Cruz,Economics,Finance,23,"Public-private
partnership"
21,Surigao del Sur State University,Tandag,Economics,Finance,83,"Public-private
partnership"
22,Liceo de Cagayan University,Cagayan de Oro,Economics,Finance,86,Private
1,Asian Institute of Management,Makati,Economics,International,60,Private
2,University of the Philippines Diliman,Quezon,Economics,International,12,"Public-private
partnership"
3,Ateneo de Manila University,Quezon,Economics,International,42,Private
1,De La Salle University,Manila,Economics,International Relations,35,Private
2,University of the Philippines Diliman,Quezon,Economics,International Relations,12,"Public-private
partnership"
1,De La Salle University,Manila,Economics,International Trade,35,Private
2,University of the Philippines Diliman,Quezon,Economics,International Trade,12,"Public-private
partnership"
3,Ateneo de Manila University,Quezon,Economics,International Trade,42,Private
4,Asian Institute of Management,Makati,Economics,International Trade,60,Private
1,University of the Philippines Diliman,Quezon,Economics,Investment Banking,12,"Public-private
partnership"
2,Asian Institute of Management,Makati,Economics,Investment Banking,60,Private
1,Ateneo de Manila University,Quezon,Economics,Political Economy,42,Private
2,University of the Philippines Diliman,Quezon,Economics,Political Economy,12,"Public-private
partnership"
3,De La Salle University,Manila,Economics,Political Economy,35,Private
1,University of the Philippines Diliman,Quezon,Engineering,Overall,12,"Public-private
partnership"
2,De La Salle University,Manila,Engineering,Overall,35,Private
3,Mapua University,Manila,Engineering,Overall,78,Private
4,University of the Philippines Los Banos,Los Banos,Engineering,Overall,15,"Public-private
partnership"
5,Ateneo de Manila University,Quezon,Engineering,Overall,42,Private
6,University of the Philippines Manila,Manila,Engineering,Overall,51,"Public-private
partnership"
7,University of Santo Tomas,Manila,Engineering,Overall,90,Private
8,Mindanao State University - Iligan Institute of Technology,Iligan,Engineering,Overall,40,"Public-private
partnership"
9,University of San Carlos,Cebu,Engineering,Overall,61,Private
10,Technological Institute of the Philippines,Manila,Engineering,Overall,66,Private
11,Visayas State University,Baybay,Engineering,Overall,82,"Public-private
partnership"
12,Caraga State University,Butuan,Engineering,Overall,84,"Public-private
partnership"
13,Central Luzon State University,Science City of Munoz,Engineering,Overall,67,"Public-private
partnership"
14,Adamson University,Manila,Engineering,Overall,61,Private
15,University of the East - Philippines,Manila,Engineering,Overall,70,Private
16,University of the Philippines in the Visayas,Iloilo,Engineering,Overall,12,"Public-private
partnership"
17,University of Asia and the Pacific,Pasig,Engineering,Overall,74,Private
18,University of Science and Technology of Southern Philippines,Cagayan de Oro,Engineering,Overall,80,"Public-private
partnership"
19,Angeles University Foundation,Angeles,Engineering,Overall,80,Private
20,Polytechnic University of the Philippines,Manila,Engineering,Overall,40,"Public-private
partnership"
21,Asian Institute of Management,Makati,Engineering,Overall,60,Private
22,Mindanao State University,Marawi,Engineering,Overall,53,"Public-private
partnership"
23,Central Mindanao University,Maramag,Engineering,Overall,74,"Public-private
partnership"
24,Lyceum of the Philippines University,Manila,Engineering,Overall,82,Private
25,Batangas State University,Batangas,Engineering,Overall,85,"Public-private
partnership"
26,Ateneo de Davao University,Davao,Engineering,Overall,50,Private
27,University of Mindanao,Davao,Engineering,Overall,92,Private
28,Laguna State Polytechnic University,Sta. Cruz,Engineering,Overall,23,"Public-private
partnership"
29,Silliman University,Dumaguete City,Engineering,Overall,64,Private
30,Isabela State University,Echague,Engineering,Overall,88,"Public-private
partnership"
31,Bulacan State University,Malolos,Engineering,Overall,52,"Public-private
partnership"
32,University of Perpetual Help System DALTA,Las Pinas,Engineering,Overall,56,Private
33,Samar State University,Catbalogan City,Engineering,Overall,92,"Public-private
partnership"
34,Philippine Normal University,Manila,Engineering,Overall,50,"Public-private
partnership"
35,Surigao del Sur State University,Tandag,Engineering,Overall,83,"Public-private
partnership"
36,University of the Philippines Baguio,Baguio,Engineering,Overall,45,"Public-private
partnership"
37,University of the Philippines Mindanao,Davao,Engineering,Overall,70,"Public-private
partnership"
38,Don Mariano Marcos Memorial State University,Bacnotan,Engineering,Overall,50,"Public-private
partnership"
39,West Visayas State University,Iloilo,Engineering,Overall,67,"Public-private
partnership"
40,University of Southeastern Philippines,Davao,Engineering,Overall,100,"Public-private
partnership"
41,Cebu Normal University,Cebu,Engineering,Overall,71,"Public-private
partnership"
42,University of Southern Mindanao,Kabacan,Engineering,Overall,50,"Public-private
partnership"
